district,day,hour,load,price,action,battery_level
Salem,0,0,0.48492342363897023,3.428350953168544,discharge,0.4
Salem,0,1,0.48586589564844973,3.0309896348290604,discharge,0.30000000000000004
Salem,0,2,0.5999221838669003,3.458939004849172,idle,0.30000000000000004
Salem,0,3,0.5096277021826179,3.487664965039963,idle,0.30000000000000004
Salem,0,4,0.48829046311508906,3.231275478907626,discharge,0.20000000000000004
Salem,0,5,0.5165662927599087,2.894878123674967,discharge,0.10000000000000003
Salem,0,6,0.5404288648166187,4.774432387641039,discharge,2.7755575615628914e-17
Salem,0,7,0.5602433198405896,4.561151809484874,discharge,0.0
Salem,0,8,0.5473197565802437,4.643633449249056,charge,0.1
Salem,0,9,0.6686568526157936,7.7565522426137505,discharge,0.0
Salem,0,10,0.5390286757160843,8.735728168766965,idle,0.0
Salem,0,11,0.45835195723167566,4.948829495123472,discharge,0.0
Salem,0,12,0.5697584844140312,5.297765925143545,idle,0.0
Salem,0,13,0.4959937489268378,5.4537886575191195,idle,0.0
Salem,0,14,0.48089346272195194,4.511208921170251,idle,0.0
Salem,0,15,0.45091487107612027,5.496609764657166,discharge,0.0
Salem,0,16,0.4367876070130974,5.412222082778376,idle,0.0
Salem,0,17,0.5416659209523469,5.169982777385932,charge,0.1
Salem,0,18,0.49188948674741984,8.047949454267714,discharge,0.0
Salem,0,19,0.5012506466420578,8.227563738746895,discharge,0.0
Salem,0,20,0.665681700447048,8.93734784872608,idle,0.0
Salem,0,21,0.5111361957569543,4.761696250388294,idle,0.0
Salem,0,22,0.5502492743641627,4.67116896722463,discharge,0.0
Salem,0,23,0.5797431983272766,4.9354387899002585,idle,0.0
Salem,1,0,0.4267766551193676,3.342198936645949,discharge,0.0
Salem,1,1,0.48156521926979773,3.122561217918455,idle,0.0
Salem,1,2,0.5866333347783163,3.144108477149638,discharge,0.0
Salem,1,3,0.44775186596399374,3.211451283291086,idle,0.0
Salem,1,4,0.4934117681540649,3.1354352116785416,discharge,0.0
Salem,1,5,0.5319430905468553,3.0262324067946214,charge,0.1
Salem,1,6,0.5073597518541224,4.6356176986021245,discharge,0.0
Salem,1,7,0.5734715848610135,5.244557088073381,discharge,0.0
Salem,1,8,0.4939728864523384,5.4890158321603,charge,0.1
Salem,1,9,0.5199091292534721,8.47802403440614,discharge,0.0
Salem,1,10,0.7023324005523753,8.601438744457294,idle,0.0
Salem,1,11,0.5538717901844485,4.739880145352778,idle,0.0
Salem,1,12,0.48797058077497385,5.019940094537276,idle,0.0
Salem,1,13,0.5231177269096494,5.167979631025437,idle,0.0
Salem,1,14,0.40873499976916944,5.345106120019658,idle,0.0
Salem,1,15,0.42853443857269274,4.62078323170369,discharge,0.0
Salem,1,16,0.49534983164138713,5.364957691144569,idle,0.0
Salem,1,17,0.533346148909662,5.194067984421173,charge,0.1
Salem,1,18,0.4992835192162467,8.095140288697865,discharge,0.0
