district,day,hour,load,price,action,battery_level
Coimbatore,0,0,0.5421553076583967,3.3919042334268346,discharge,0.4
Coimbatore,0,1,0.6922584160961986,3.4484319450240264,idle,0.4
Coimbatore,0,2,0.5740457268534646,3.4738639770614785,discharge,0.30000000000000004
Coimbatore,0,3,0.582704054824888,2.8155186002666004,discharge,0.20000000000000004
Coimbatore,0,4,0.5566037912200298,3.3470726503805968,idle,0.20000000000000004
Coimbatore,0,5,0.5434934097657876,3.260450839509908,discharge,0.10000000000000003
Coimbatore,0,6,0.5119661337022482,5.101486175914433,discharge,2.7755575615628914e-17
Coimbatore,0,7,0.5121798008551713,5.012468499299699,charge,0.10000000000000003
Coimbatore,0,8,0.9792167951213285,7.505540441757058,discharge,2.7755575615628914e-17
Coimbatore,0,9,0.8554213672686116,7.907384819322438,idle,2.7755575615628914e-17
Coimbatore,0,10,0.9052925117750119,7.684986400285809,discharge,0.0
Coimbatore,0,11,0.6707274451440591,5.054873905157634,idle,0.0
Coimbatore,0,12,0.6970126407138799,4.937936970885464,discharge,0.0
Coimbatore,0,13,0.6350581837830833,5.383689198329879,idle,0.0
Coimbatore,0,14,0.5050601497897862,5.418965217709702,discharge,0.0
Coimbatore,0,15,0.5676694422351846,5.116088503721818,idle,0.0
Coimbatore,0,16,0.5301571791380089,4.711258735748974,discharge,0.0
Coimbatore,0,17,0.6554796304441414,5.140318668744942,charge,0.1
Coimbatore,0,18,0.943559884255602,8.461793347971868,discharge,0.0
Coimbatore,0,19,0.904306819052129,8.013353464622694,idle,0.0
Coimbatore,0,20,0.7537596456442361,8.453337767486454,discharge,0.0
Coimbatore,0,21,0.9070984859457689,8.543378074479433,idle,0.0
Coimbatore,0,22,0.5584877489742114,4.613683843699485,idle,0.0
Coimbatore,0,23,0.5275761074762347,5.052010891024451,discharge,0.0
Coimbatore,1,0,0.5279876192596314,3.078417089179499,discharge,0.0
Coimbatore,1,1,0.5693371206816334,3.45848672074435,idle,0.0
Coimbatore,1,2,0.6411718105919679,3.3801268749569395,discharge,0.0
Coimbatore,1,3,0.611862409128211,3.0508164632828563,idle,0.0
Coimbatore,1,4,0.6379748016806441,2.8650102344489876,discharge,0.0
Coimbatore,1,5,0.5073980973751371,3.1716455156664605,charge,0.1
Coimbatore,1,6,0.5094403171313827,4.617436158242303,discharge,0.0
Coimbatore,1,7,0.5371872684531096,5.163343654730445,charge,0.1
Coimbatore,1,8,0.8885138020866903,7.963568449578687,discharge,0.0
Coimbatore,1,9,0.8684172447916584,8.842369141058898,idle,0.0
Coimbatore,1,10,0.7185342068893561,8.355294738011787,idle,0.0
Coimbatore,1,11,0.5304793053275078,5.274774533245527,idle,0.0
Coimbatore,1,12,0.6159054503501495,5.321176419183423,discharge,0.0
Coimbatore,1,13,0.5763857236417737,4.944951664082219,idle,0.0
Coimbatore,1,14,0.6234586593076461,5.303633364938218,discharge,0.0
Coimbatore,1,15,0.6722568509292979,5.021073245453476,idle,0.0
Coimbatore,1,16,0.5677519467581635,4.610312199525499,discharge,0.0
Coimbatore,1,17,0.6315843400185442,4.733771975803225,charge,0.1
Coimbatore,1,18,0.8429403498468208,7.65396226567847,discharge,0.0
Coimbatore,1,19,0.7673402793994875,7.673459144980142,idle,0.0
Coimbatore,1,20,0.7498546625960271,8.53276870695657,discharge,0.0
Coimbatore,1,21,0.8485331070874805,8.426863703333737,discharge,0.0
Coimbatore,1,22,0.617593848830162,5.1713631243540235,idle,0.0
Coimbatore,1,23,0.6718519860663874,4.5230586060449385,discharge,0.0
Coimbatore,2,0,0.678949279764902,2.8498583215317366,discharge,0.0
Coimbatore,2,1,0.5645544587331548,2.931571187760661,idle,0.0
Coimbatore,2,2,0.5442196888141491,3.097521382101235,idle,0.0
Coimbatore,2,3,0.605971170687201,3.0607257141922077,idle,0.0
Coimbatore,2,4,0.6628057043681992,3.180406682409486,discharge,0.0
Coimbatore,2,5,0.6885551583468409,2.9502827013895785,charge,0.1
Coimbatore,2,6,0.6336623664322569,5.294318150147432,discharge,0.0
Coimbatore,2,7,0.6004980832300345,4.6240761011208384,charge,0.1
Coimbatore,2,8,0.7263351337013172,8.056608168871033,discharge,0.0
Coimbatore,2,9,0.9274218352723848,8.599626024999607,discharge,0.0
