district,day,hour,load,price
Salem,0,0,0.48492342363897023,3.428350953168544
Salem,0,1,0.48586589564844973,3.0309896348290604
Salem,0,2,0.5999221838669003,3.458939004849172
Salem,0,3,0.5096277021826179,3.487664965039963
Salem,0,4,0.48829046311508906,3.231275478907626
Salem,0,5,0.5165662927599087,2.894878123674967
Salem,0,6,0.5404288648166187,4.774432387641039
Salem,0,7,0.5602433198405896,4.561151809484874
Salem,0,8,0.5473197565802437,4.643633449249056
Salem,0,9,0.6686568526157936,7.7565522426137505
Salem,0,10,0.5390286757160843,8.735728168766965
Salem,0,11,0.45835195723167566,4.948829495123472
Salem,0,12,0.5697584844140312,5.297765925143545
Salem,0,13,0.4959937489268378,5.4537886575191195
Salem,0,14,0.48089346272195194,4.511208921170251
Salem,0,15,0.45091487107612027,5.496609764657166
Salem,0,16,0.4367876070130974,5.412222082778376
Salem,0,17,0.5416659209523469,5.169982777385932
Salem,0,18,0.49188948674741984,8.047949454267714
Salem,0,19,0.5012506466420578,8.227563738746895
Salem,0,20,0.665681700447048,8.93734784872608
Salem,0,21,0.5111361957569543,4.761696250388294
Salem,0,22,0.5502492743641627,4.67116896722463
Salem,0,23,0.5797431983272766,4.9354387899002585
Salem,1,0,0.4267766551193676,3.342198936645949
Salem,1,1,0.48156521926979773,3.122561217918455
Salem,1,2,0.5866333347783163,3.144108477149638
Salem,1,3,0.44775186596399374,3.211451283291086
Salem,1,4,0.4934117681540649,3.1354352116785416
Salem,1,5,0.5319430905468553,3.0262324067946214
Salem,1,6,0.5073597518541224,4.6356176986021245
Salem,1,7,0.5734715848610135,5.244557088073381
Salem,1,8,0.4939728864523384,5.4890158321603
Salem,1,9,0.5199091292534721,8.47802403440614
Salem,1,10,0.7023324005523753,8.601438744457294
Salem,1,11,0.5538717901844485,4.739880145352778
Salem,1,12,0.48797058077497385,5.019940094537276
Salem,1,13,0.5231177269096494,5.167979631025437
Salem,1,14,0.40873499976916944,5.345106120019658
Salem,1,15,0.42853443857269274,4.62078323170369
Salem,1,16,0.49534983164138713,5.364957691144569
Salem,1,17,0.533346148909662,5.194067984421173
Salem,1,18,0.4992835192162467,8.095140288697865
Salem,1,19,0.6649743873128496,8.197387765347473
Salem,1,20,0.6875998943560134,8.361316971859445
Salem,1,21,0.5147310209539164,4.532315960128447
Salem,1,22,0.5657158603109051,4.910945736256391
Salem,1,23,0.5688143555393235,5.34079624404389
Salem,2,0,0.5570779892776578,3.384679660575686
Salem,2,1,0.5024095006190809,3.48054032756326
Salem,2,2,0.5630932609964491,2.8532731586885887
Salem,2,3,0.46628341167182197,3.444961587972752
Salem,2,4,0.5740988918213207,2.9840037753892275
Salem,2,5,0.5611869312289274,3.453623048306914
Salem,2,6,0.4176409221591559,5.343582542539835
Salem,2,7,0.5488681363389465,5.2471682426053174
Salem,2,8,0.45031494313931375,4.958932847800055
Salem,2,9,0.6510178734911796,8.05607405695272
Salem,2,10,0.7072050983200543,7.744532577078725
Salem,2,11,0.4055485204040914,5.221742753179345
Salem,2,12,0.5181054839829662,4.733050973453855
Salem,2,13,0.5783250666852746,5.283314698789044
Salem,2,14,0.5023539125438916,5.325900626196084
Salem,2,15,0.5290369424422263,4.563388401610983
Salem,2,16,0.4599909981749091,5.246666909691901
Salem,2,17,0.47220720782648906,5.140772236362377
Salem,2,18,0.675551828262421,8.922651879228237
Salem,2,19,0.49897188769081563,8.656606012606705
Salem,2,20,0.5137385308890866,8.197428815053431
Salem,2,21,0.41268125559309554,5.069712367260141
Salem,2,22,0.49808310776031717,5.146566613747705
Salem,2,23,0.5111265601470384,5.256839965439466
Salem,3,0,0.5164571371892356,2.952115821561657
Salem,3,1,0.40093335142414194,3.0857245058964375
Salem,3,2,0.42333912077399416,2.9779093845217313
Salem,3,3,0.5031048464523438,3.380650971007159
Salem,3,4,0.5024552224582519,3.1407848567044234
Salem,3,5,0.49337862632035,2.878101739728867
Salem,3,6,0.5427141500486509,5.399501530805293
Salem,3,7,0.4645868222639883,4.6695450992772845
Salem,3,8,0.4713487042212778,5.114451962832972
Salem,3,9,0.5053113457335812,8.468963072178745
Salem,3,10,0.48891315084469134,8.647580501312525
Salem,3,11,0.5334654158034208,5.297300928333791
Salem,3,12,0.5188188591596075,4.741337460047129
Salem,3,13,0.4567202317458363,4.915425833608538
Salem,3,14,0.49460933980369826,4.661730860945214
Salem,3,15,0.5730456274462676,5.354573490695998
Salem,3,16,0.5186553523040431,4.587506203565292
Salem,3,17,0.43895802988435906,5.420430801533405
Salem,3,18,0.6636760774893519,8.17521017994099
Salem,3,19,0.6316467499096442,7.85301234715853
Salem,3,20,0.5689183101985174,7.5051861737743835
Salem,3,21,0.4635357301185271,5.110676563571711
Salem,3,22,0.5698563478427544,4.614996933927651
Salem,3,23,0.4208271474033074,5.333498309532639
Salem,4,0,0.40758643016193474,3.2925169636170617
Salem,4,1,0.5711789767292497,2.924374662633095
Salem,4,2,0.44130814952713043,2.8661175080329255
Salem,4,3,0.49990370355492925,3.0643007148925054
Salem,4,4,0.5017141122758348,3.1013914541211136
Salem,4,5,0.5122599868637333,3.131692512108631
Salem,4,6,0.48367950578447677,4.765340601393581
Salem,4,7,0.44908851162192426,5.4570092974155715
Salem,4,8,0.4882869360144805,4.95264441634211
Salem,4,9,0.6125922364013654,8.076355917353961
Salem,4,10,0.4848758314055923,7.675977717471078
Salem,4,11,0.4202088022269279,4.733287642516498
Salem,4,12,0.47603984993524256,4.762501955356533
Salem,4,13,0.5602790062563358,4.889156233749903
Salem,4,14,0.5617742665492016,4.752484383184961
Salem,4,15,0.4884384269162215,5.131065975593453
Salem,4,16,0.5810020126643868,5.143896031237264
Salem,4,17,0.44984522701662827,5.207402230263319
Salem,4,18,0.6093359554805999,7.856386744313743
Salem,4,19,0.5381627588600422,7.5152789942916005
Salem,4,20,0.6975900146950369,7.503556269329558
Salem,4,21,0.5295453338580409,4.725874390480782
Salem,4,22,0.4906674974818299,5.238576466277655
Salem,4,23,0.5166786769080272,4.551577371817851
Salem,5,0,0.6747099965605331,2.839838574554878
Salem,5,1,0.7038820181963655,3.232498103344141
Salem,5,2,0.5472927054730211,2.810072695686284
Salem,5,3,0.5437552076067076,3.3355683837981887
Salem,5,4,0.6127172903961227,3.4336884904325506
Salem,5,5,0.7035901770289114,3.3832394952053657
Salem,5,6,0.6601939990067441,5.4192191408420465
Salem,5,7,0.5647982819710792,5.467983700537136
Salem,5,8,0.5464928657014538,4.651127936989
Salem,5,9,0.645461543235123,8.134477456638173
Salem,5,10,0.5569772874412998,7.651949849951489
Salem,5,11,0.4795581762021028,5.212276377467504
Salem,5,12,0.544172814885405,4.654144636870976
Salem,5,13,0.5011995200801155,5.321637308706698
Salem,5,14,0.5142099627840335,4.801504745106437
Salem,5,15,0.4581135976928197,4.982059246326113
Salem,5,16,0.4402767862901223,5.297496302808249
Salem,5,17,0.5181845667911031,5.328977957818256
Salem,5,18,0.608151574530432,7.685551737422047
Salem,5,19,0.48945771741297517,8.878951442367052
Salem,5,20,0.6123996619323722,7.94332531321202
Salem,5,21,0.5281197410378677,4.9869109647321235
Salem,5,22,0.5980266106765221,5.245778075542864
Salem,5,23,0.5795935937360445,4.667826488387561
Salem,6,0,0.5794305405814842,3.328067735499861
Salem,6,1,0.6263942032388717,2.974760913770384
Salem,6,2,0.6901933677417463,3.2800920931567057
Salem,6,3,0.6916504145169321,3.0855671837847716
Salem,6,4,0.6824949628548266,3.4707267205874897
Salem,6,5,0.658338289401195,3.1017011650765545
Salem,6,6,0.6393888611835085,5.413475444752813
Salem,6,7,0.6951669105966541,5.091850001236876
Salem,6,8,0.6822742476485394,5.268628047263196
Salem,6,9,0.49452615031267155,8.57093349363285
Salem,6,10,0.6721184633274148,7.90797932430262
Salem,6,11,0.5052247930145634,4.665459077987486
Salem,6,12,0.42063949443932447,4.848328224491736
Salem,6,13,0.435913996845658,4.9878658717584194
Salem,6,14,0.4064505210229758,5.271177206291908
Salem,6,15,0.40061204522953986,5.0234969468127435
Salem,6,16,0.44058557612264077,4.948616771646947
Salem,6,17,0.567107274398497,4.865395394579389
Salem,6,18,0.5755838620649355,8.214798806375015
Salem,6,19,0.5811385149746554,8.766908342209256
Salem,6,20,0.6456249846346483,8.550577194845117
Salem,6,21,0.6883437494474062,4.937703315660685
Salem,6,22,0.6447262562195931,5.063630509728611
Salem,6,23,0.6712532896294494,5.279880921028194
Salem,7,0,0.45328903110808844,2.8725280898247862
Salem,7,1,0.4712058463690555,3.4375970489805163
Salem,7,2,0.4587887544062832,3.024712657267466
Salem,7,3,0.4553708042471899,2.8660854164321803
Salem,7,4,0.5095749831916486,3.2434782698245375
Salem,7,5,0.5627594529165207,3.3756681887517144
Salem,7,6,0.510879965550757,4.756206109389238
Salem,7,7,0.5840663581723636,5.301361505671848
Salem,7,8,0.5090091005348005,5.369661674677725
Salem,7,9,0.6286506101008771,8.247346842286102
Salem,7,10,0.569085394628883,8.933275956582959
Salem,7,11,0.5436966096368927,5.20796423746625
Salem,7,12,0.43190695856253014,5.094768054231991
Salem,7,13,0.4507150312249799,5.038134324685803
Salem,7,14,0.5080008535219701,4.83434895066862
Salem,7,15,0.46234221133868736,4.89230737982496
Salem,7,16,0.42405693435701486,4.972115042508137
Salem,7,17,0.4263329075572774,4.505225876574995
Salem,7,18,0.6293313196405069,7.64399591562527
Salem,7,19,0.568946885102867,8.29252498682225
Salem,7,20,0.6987382737939479,8.220262487154223
Salem,7,21,0.5282793638726531,5.4519395476502535
Salem,7,22,0.4982353323111771,5.201906451263086
Salem,7,23,0.5714635716386096,4.906201816200112
Salem,8,0,0.5598507543589353,3.2769605055914206
Salem,8,1,0.5594820148024398,3.316397925090626
Salem,8,2,0.5575024123406169,3.2634483095991236
Salem,8,3,0.5933196414946373,2.9212502227411865
Salem,8,4,0.5978657549455144,3.4762535955201095
Salem,8,5,0.46156075897006743,3.1050899431665524
Salem,8,6,0.4544114717106182,4.8369008068441
Salem,8,7,0.5520459403560679,5.205089494372777
Salem,8,8,0.5362141955723041,4.532641236492714
Salem,8,9,0.5676509343428288,8.997980080962215
Salem,8,10,0.6996489141263335,7.94211299544036
Salem,8,11,0.4013455939721135,5.063004297683959
Salem,8,12,0.414044781755568,5.378353759953483
Salem,8,13,0.5831984620553823,4.534276050722024
Salem,8,14,0.5400782459829023,4.779379225892847
Salem,8,15,0.49240115636608905,5.060778717714978
Salem,8,16,0.49870009784355496,5.434258506976756
Salem,8,17,0.4768795994491609,4.84991227054286
Salem,8,18,0.6347031161364897,8.002541400925319
Salem,8,19,0.6828134300114145,8.661434535859337
Salem,8,20,0.6569783406475709,8.28815911167936
Salem,8,21,0.4366129428393707,4.999391197068893
Salem,8,22,0.44985233640702627,5.249234730073371
Salem,8,23,0.46489382279123603,4.770676155184715
Salem,9,0,0.5795532179799794,3.177571343089558
Salem,9,1,0.4764149240520342,3.2520831570114646
Salem,9,2,0.4114801464577787,3.4142171259968928
Salem,9,3,0.44086864795289865,3.1052895197392107
Salem,9,4,0.5623063151387995,3.252179429236415
Salem,9,5,0.45517226979399733,3.2264824984142337
Salem,9,6,0.4333961725329026,4.855046172677642
Salem,9,7,0.544424753702121,4.877111475491061
Salem,9,8,0.5994223279140002,4.706428093379922
Salem,9,9,0.5167216499914845,7.922306903136143
Salem,9,10,0.6757626194259096,8.616634677469147
Salem,9,11,0.4370345610666975,4.725449043821052
Salem,9,12,0.4816908844994818,4.5803619832275695
Salem,9,13,0.4878904460774575,5.168287319017377
Salem,9,14,0.43495413520541537,4.62411838039386
Salem,9,15,0.5038343155816335,5.297314076682426
Salem,9,16,0.5718740795920191,4.53452230982266
Salem,9,17,0.5814406134296655,4.675198060180408
Salem,9,18,0.6927954970264466,8.093585594227658
Salem,9,19,0.638619346809906,7.951108387136838
Salem,9,20,0.7064134787155464,7.856729811756206
Salem,9,21,0.41857555121174705,4.938766923503356
Salem,9,22,0.566721591693938,4.909336325542012
Salem,9,23,0.5509384092399815,5.281059531594354
Salem,10,0,0.45717258528261856,2.884815271729637
Salem,10,1,0.44389796815355176,3.251282708821981
Salem,10,2,0.5353236640862546,3.1362973967474685
Salem,10,3,0.4882245993815736,3.3507436925977303
Salem,10,4,0.43410206281507335,2.891279058529377
Salem,10,5,0.46362021119714675,3.4382753969816244
Salem,10,6,0.5213515232420978,5.478357495460858
Salem,10,7,0.4540035924465905,4.656856653558852
Salem,10,8,0.5919634684756723,5.065665146589508
Salem,10,9,0.660822595712704,8.862409988473184
Salem,10,10,0.618892569054557,8.54787591720965
